service_id,date,exception_type
"MF10-17-202-aus","20250912","2"
"MF10-17-202-aus","20250919","2"
"MF10-17-202-aus","20250926","2"
"MF10-17-202-aus","20251003","2"
"MF10-17-202-aus","20251010","2"
"MF10-17-207-aus","20250725","2"
"MF10-17-207-aus","20250801","2"
"MF10-17-207-aus","20250808","2"
"MF10-17-207-aus","20250815","2"
"MF10-17-207-aus","20250822","2"
"MF10-17-207-aus","20250829","2"
"MF10-17-207-aus","20250905","2"
"MF10-17-207-aus","20250912","2"
"MF10-17-207-aus","20250919","2"
"MF10-17-207-aus","20250926","2"
"MF10-17-207-aus","20251003","2"
"MF10-17-207-aus","20251010","2"
"MF10-17-234-aus","20250725","2"
"MF10-17-234-aus","20250801","2"
"MF10-17-234-aus","20250808","2"
"MF10-17-234-aus","20250815","2"
"MF10-17-234-aus","20250822","2"
"MF10-17-234-aus","20250829","2"
"MF10-17-234-aus","20250905","2"
"MF10-17-234-aus","20250912","2"
"MF10-17-234-aus","20250919","2"
"MF10-17-234-aus","20250926","2"
"MF10-17-234-aus","20251003","2"
"MF10-17-234-aus","20251010","2"
"MF10-17-235-aus","20250725","2"
"MF10-17-235-aus","20250801","2"
"MF10-17-235-aus","20250808","2"
"MF10-17-235-aus","20250815","2"
"MF10-17-235-aus","20250822","2"
"MF10-17-235-aus","20250829","2"
"MF10-17-235-aus","20250905","2"
"MF10-17-235-aus","20250912","2"
"MF10-17-235-aus","20250919","2"
"MF10-17-235-aus","20250926","2"
"MF10-17-235-aus","20251003","2"
"MF10-17-235-aus","20251010","2"
"MF10-17-236-aus","20250725","2"
"MF10-17-236-aus","20250801","2"
"MF10-17-236-aus","20250808","2"
"MF10-17-236-aus","20250815","2"
"MF10-17-236-aus","20250822","2"
"MF10-17-236-aus","20250829","2"
"MF10-17-236-aus","20250905","2"
"MF10-17-236-aus","20250912","2"
"MF10-17-236-aus","20250919","2"
"MF10-17-236-aus","20250926","2"
"MF10-17-236-aus","20251003","2"
"MF10-17-236-aus","20251010","2"
"MF10-17-237-aus","20250725","2"
"MF10-17-237-aus","20250801","2"
"MF10-17-237-aus","20250808","2"
"MF10-17-237-aus","20250815","2"
"MF10-17-237-aus","20250822","2"
"MF10-17-237-aus","20250829","2"
"MF10-17-237-aus","20250905","2"
"MF10-17-237-aus","20250912","2"
"MF10-17-237-aus","20250919","2"
"MF10-17-237-aus","20250926","2"
"MF10-17-237-aus","20251003","2"
"MF10-17-237-aus","20251010","2"
"MF10-17-246-aus","20250725","2"
"MF10-17-246-aus","20250801","2"
"MF10-17-246-aus","20250808","2"
"MF10-17-246-aus","20250815","2"
"MF10-17-246-aus","20250822","2"
"MF10-17-246-aus","20250829","2"
"MF10-17-246-aus","20250905","2"
"MF10-17-246-aus","20250912","2"
"MF10-17-246-aus","20250919","2"
"MF10-17-246-aus","20250926","2"
"MF10-17-246-aus","20251003","2"
"MF10-17-246-aus","20251010","2"
"MF10-17-250-aus","20250725","2"
"MF10-17-250-aus","20250801","2"
"MF10-17-250-aus","20250808","2"
"MF10-17-250-aus","20250815","2"
"MF10-17-250-aus","20250822","2"
"MF10-17-250-aus","20250829","2"
"MF10-17-250-aus","20250905","2"
"MF10-17-250-aus","20250912","2"
"MF10-17-250-aus","20250919","2"
"MF10-17-250-aus","20250926","2"
"MF10-17-250-aus","20251003","2"
"MF10-17-250-aus","20251010","2"
"MF10-17-251-aus","20250725","2"
"MF10-17-251-aus","20250801","2"
"MF10-17-251-aus","20250808","2"
"MF10-17-251-aus","20250815","2"
"MF10-17-251-aus","20250822","2"
"MF10-17-251-aus","20250829","2"
"MF10-17-251-aus","20250905","2"
"MF10-17-251-aus","20250912","2"
"MF10-17-251-aus","20250919","2"
"MF10-17-251-aus","20250926","2"
"MF10-17-251-aus","20251003","2"
"MF10-17-251-aus","20251010","2"
"MF10-17-270-aus","20250725","2"
"MF10-17-270-aus","20250801","2"
"MF10-17-270-aus","20250808","2"
"MF10-17-270-aus","20250815","2"
"MF10-17-270-aus","20250822","2"
"MF10-17-270-aus","20250829","2"
"MF10-17-270-aus","20250905","2"
"MF10-17-270-aus","20250912","2"
"MF10-17-270-aus","20250919","2"
"MF10-17-270-aus","20250926","2"
